create files,create processes,create threads,demand-paging,gups,launch programs,mem alloc,mprotect
28.540938,41.680336,19.049644,3004.0,21.9851,69.160461,104.49481,2657.0
28.363138,42.42897,19.090176,3000.0,21.5286,69.479942,104.51293,2677.0
27.862195,44.088364,19.168854,2981.0,21.7287,68.519115,105.159044,2662.0
27.925032,42.910576,19.211769,3056.0,21.2203,68.500042,104.626894,2695.0
27.900817,42.369366,19.071102,3005.0,21.3337,68.440437,104.824066,2665.0
28.198449,43.158531,19.159317,3002.0,21.721,68.790913,105.391026,2661.0
28.358437,43.170452,18.999577,2999.0,21.8689,68.469048,104.562998,2669.0
27.990816,43.280125,19.080639,3023.0,21.821,68.590641,104.723215,2630.0
28.792381,41.408539,19.211769,3002.0,21.6437,68.5215,104.578972,2660.0
27.838878,43.239594,18.970966,2993.0,21.0958,68.318844,104.866028,2668.0
