create files,create processes,create threads,demand-paging,gups,launch programs,mem alloc,mprotect
27.274745,54.638386,26.628971,3313.0,34.6525,142.159462,114.037037,4595.0
27.527938,52.080154,27.389526,3283.0,34.3368,143.098831,114.614964,4660.0
28.362621,57.151318,26.769638,3297.0,34.5849,143.311024,114.382982,4701.0
27.046131,51.589012,26.519299,3285.0,34.5663,143.020153,114.425182,4710.0
27.67826,52.058697,27.110577,3283.0,34.8026,142.810345,114.609003,4742.0
27.281046,51.860809,28.309822,3284.0,34.2207,142.512321,114.315033,4698.0
28.284584,53.038597,26.900768,3282.0,34.1672,141.971111,114.279985,4734.0
27.344829,52.759647,26.779175,3285.0,34.1654,140.559673,114.431143,4719.0
27.391811,52.239895,27.530193,3285.0,34.7024,141.13903,114.41493,4699.0
27.555147,51.939487,27.070045,3285.0,33.8882,140.719414,114.299059,4738.0
